Indicator,Year,Value,Unit,Confidence,RawText,DisplayValue,Source,Method,CanonicalIndicator,Category,Canonical Name,Indicator Name,FileRef,page_content,SourceURL
Current Account Balance,2022,2023.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Statistics Monthly Bulletin, December 2022 24-03-2023 Report This publication retraces the cyclical trends of a number of economic or social indicators.","2,023",http,Heuristic,Current Account Balance,Trade,Current Account Balance,Current Account Balance,http___ins.tn_en_publication_29db784f33.txt,Indicator: Current Account Balance | Year: 2022 | Value: 2023.0 | Source: http,
Population,2022,2.0,,70,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), fourth quarter 2022 15-02-2023 Press release Real GDP increased at an annual rate of 1.6 percent in the fourth quarter of 2022.",2,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2022 | Value: 2.0 | Source: http,
Real Gdp (constant Prices),2022,2023.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), fourth quarter 2022 15-02-2023 Press release Real GDP increased at an annual rate of 1.6 percent in the fourth quarter of 2022.","2,023",http,Regex,Real Gdp (constant Prices),National Accounts,Real Gdp (constant Prices),Real Gdp (constant Prices),http___ins.tn_en_publication_29db784f33.txt,Indicator: Real Gdp (constant Prices) | Year: 2022 | Value: 2023.0 | Source: http,
"Agriculture, Value Added (% Of Gdp)",2022,15.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), fourth quarter 2022 15-02-2023 Press release Real GDP increased at an annual rate of 1.6 percent in the fourth quarter of 2022.",15,http,Regex,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",http___ins.tn_en_publication_29db784f33.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2022 | Value: 15.0 | Source: http",
Gross Domestic Product (gdp) At Market Prices,2022,1.6,%,100,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), fourth quarter 2022 15-02-2023 Press release Real GDP increased at an annual rate of 1.6 percent in the fourth quarter of 2022.",1.6 %,http,Heuristic,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,http___ins.tn_en_publication_29db784f33.txt,Indicator: Gross Domestic Product (gdp) At Market Prices | Year: 2022 | Value: 1.6 % | Source: http,
Population,2022,2.9,%,100,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), third quarter 2022 15-11-2022 Press release Real GDP increased at an annual rate of 2.9 percent in the third quarter of 2022​​​​​​​ Read more National Institue of Statistics Arabic Quarterly Nation account
Statistics compiled from the Tunisian Business Register 2021 20-10-2022 Report This annual publication presents the principal statistics compiled from the Tunisian Business Register : Number of entreprises, entries, exits, still-borns by activity, localisation, size, legal form and year.",2.9 %,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2022 | Value: 2.9 % | Source: http,
Real Gdp (constant Prices),2022,2021.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), third quarter 2022 15-11-2022 Press release Real GDP increased at an annual rate of 2.9 percent in the third quarter of 2022​​​​​​​ Read more National Institue of Statistics Arabic Quarterly Nation account
Statistics compiled from the Tunisian Business Register 2021 20-10-2022 Report This annual publication presents the principal statistics compiled from the Tunisian Business Register : Number of entreprises, entries, exits, still-borns by activity, localisation, size, legal form and year.","2,021",http,Regex,Real Gdp (constant Prices),National Accounts,Real Gdp (constant Prices),Real Gdp (constant Prices),http___ins.tn_en_publication_29db784f33.txt,Indicator: Real Gdp (constant Prices) | Year: 2022 | Value: 2021.0 | Source: http,
"Agriculture, Value Added (% Of Gdp)",2022,20.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), third quarter 2022 15-11-2022 Press release Real GDP increased at an annual rate of 2.9 percent in the third quarter of 2022​​​​​​​ Read more National Institue of Statistics Arabic Quarterly Nation account
Statistics compiled from the Tunisian Business Register 2021 20-10-2022 Report This annual publication presents the principal statistics compiled from the Tunisian Business Register : Number of entreprises, entries, exits, still-borns by activity, localisation, size, legal form and year.",20,http,Regex,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",http___ins.tn_en_publication_29db784f33.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2022 | Value: 20.0 | Source: http",
Population,2015,14.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
National Accounts 2015-2020 (Basis 2015) 14-09-2022 Report This publication presents on a yearly basis the main accounts (basis 2015) of the national income accounting.",14,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2015 | Value: 14.0 | Source: http,
Population,2022,2.8,%,100,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), second quarter 2022 15-08-2022 Press release Real GDP increased at an annual rate of 2.8 percent in the second quarter of 2022.",2.8 %,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2022 | Value: 2.8 % | Source: http,
Population,2022,1.0,,70,"Read more Eurostat Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Estimated population January 1st 2022 14-06-2022 Report Estimated population January 1st 2022",1,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2022 | Value: 1.0 | Source: http,
Population,2022,2.4,%,100,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), first quarter 2022 16-05-2022 Press release GDP posts a 2.4% growth in the first quarter of 2022.",2.4 %,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2022 | Value: 2.4 % | Source: http,
"Agriculture, Value Added (% Of Gdp)",2022,16.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), first quarter 2022 16-05-2022 Press release GDP posts a 2.4% growth in the first quarter of 2022.",16,http,Regex,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",http___ins.tn_en_publication_29db784f33.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2022 | Value: 16.0 | Source: http",
Current Account Balance,2021,2022.0,,85,"Read more National Institue of Statistics Arabic Quarterly Nation account
Statistics Monthly Bulletin, November 2021 28-01-2022 Report This publication retraces the cyclical trends of a number of economic or social indicators.","2,022",http,Heuristic,Current Account Balance,Trade,Current Account Balance,Current Account Balance,http___ins.tn_en_publication_29db784f33.txt,Indicator: Current Account Balance | Year: 2021 | Value: 2022.0 | Source: http,
Population,2021,1.6,%,100,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), fourth quarter 2021 15-03-2022 Press release In the fourth quarter of 2021, the national economy grew at an annual rate of 1.6%.",1.6 %,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2021 | Value: 1.6 % | Source: http,
"Agriculture, Value Added (% Of Gdp)",2021,15.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), third quarter 2021 15-11-2021 Press release Tunisia's third quarter economic growth posted a 0.3% annual rate.",15,http,Regex,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",http___ins.tn_en_publication_29db784f33.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2021 | Value: 15.0 | Source: http",
Gross Domestic Product (gdp) At Market Prices,2021,2022.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), fourth quarter 2021 15-03-2022 Press release In the fourth quarter of 2021, the national economy grew at an annual rate of 1.6%.","2,022",http,Heuristic,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,http___ins.tn_en_publication_29db784f33.txt,Indicator: Gross Domestic Product (gdp) At Market Prices | Year: 2021 | Value: 2022.0 | Source: http,
Population,2021,0.3,%,100,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), third quarter 2021 15-11-2021 Press release Tunisia's third quarter economic growth posted a 0.3% annual rate.",0.3 %,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2021 | Value: 0.3 % | Source: http,
Population,2021,15.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), second quarter 2021 15-08-2021 Press release GDP growth posted a rather “technical” correction of + 16.2% in the second quarter of 2021.",15,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2021 | Value: 15.0 | Source: http,
Gdp Growth (annual %),2021,16.2,%,100,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), second quarter 2021 15-08-2021 Press release GDP growth posted a rather “technical” correction of + 16.2% in the second quarter of 2021.",16.2 %,http,Regex,Gdp Growth (annual %),National Accounts,Gdp Growth (annual %),Gdp Growth (annual %),http___ins.tn_en_publication_29db784f33.txt,Indicator: Gdp Growth (annual %) | Year: 2021 | Value: 16.2 % | Source: http,
"Agriculture, Value Added (% Of Gdp)",2021,8.0,,70,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), second quarter 2021 15-08-2021 Press release GDP growth posted a rather “technical” correction of + 16.2% in the second quarter of 2021.",8,http,Regex,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",http___ins.tn_en_publication_29db784f33.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2021 | Value: 8.0 | Source: http",
Current Account Balance,2020,2021.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Statistics Monthly Bulletin, December 2020 24-02-2021 Report","2,021",http,Heuristic,Current Account Balance,Trade,Current Account Balance,Current Account Balance,http___ins.tn_en_publication_29db784f33.txt,Indicator: Current Account Balance | Year: 2020 | Value: 2021.0 | Source: http,
Current Account Balance,2019,2020.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Foreign Trade of Tunisia 2019 24-06-2020 Report","2,020",http,Heuristic,Current Account Balance,Trade,Current Account Balance,Current Account Balance,http___ins.tn_en_publication_29db784f33.txt,Indicator: Current Account Balance | Year: 2019 | Value: 2020.0 | Source: http,
Current Account Balance,2018,2019.0,,85,"Read more National Institue of Statistics French Quarterly Nation account
Statistics Monthly Bulletin, November 2018 28-01-2019 Report This publication retraces the cyclical trends of a number of economic or social indicators.","2,019",http,Heuristic,Current Account Balance,Trade,Current Account Balance,Current Account Balance,http___ins.tn_en_publication_29db784f33.txt,Indicator: Current Account Balance | Year: 2018 | Value: 2019.0 | Source: http,
"Agriculture, Value Added (% Of Gdp)",2019,1.1,%,100,"In the first half of 2019, GDP grew by 1.1%.",1.1 %,http,Heuristic,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",http___ins.tn_en_publication_29db784f33.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2019 | Value: 1.1 % | Source: http",
"Agriculture, Value Added (% Of Gdp)",2019,11.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Economic growth in the third quarter 2019 15-11-2019 Press release In the first nine months of 2019, GDP grew by 1.1%.​​​​​​​​​​​​​​ Read more National Institue of Statistics Arabic Quarterly Nation account
Report of Analysis Results of the National Survey on the Use of Information Technology and Communication by Companies 2017 17-10-2019 Report",11,http,Heuristic,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",http___ins.tn_en_publication_29db784f33.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2019 | Value: 11.0 | Source: http",
